Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Messias Targino (RN);7766.834;8446.453;9480.358;10544.38;12487.846;14271.668;15256.813;15761.522;19350.775;38877.035;43828.971;51028.291;58770.045;57871.139;54795.681;66917.302;50829.188;54143.329;51469.559;51547.73
Montanhas (RN);18875.408;20066.18;23195.948;26958.834;31245.646;35767.413;39590.908;44067.256;43236.045;49574.975;55199.822;63301.95;67942.999;75567.833;80098.849;85158.543;94569.676;105483.077;113023.531;119452.108
Monte Alegre (RN);34666.922;39434.987;47394.212;51681.729;57648.229;62633.33;71652.754;82938.016;93633.946;103673.747;119501.139;139839.819;151129.929;166066.205;180357.98;196823.257;213690;229200.345;234177.339;252962.207
Monte das Gameleiras (RN);12028.051;16447.071;24368.519;29014.106;17324.332;21379.746;22715.496;21520.017;11807.562;13837.912;14210.8;17230.382;19129.551;18602.431;18375.651;21556.589;24697.794;25567.536;27786.171;31374.967
Mossoró (RN);1354250.301;1544221.576;2014819.374;2321198.627;2509675.168;2794470.688;3258380.29;3247025.066;3975888.912;4543922.439;5145765.471;5547450.376;5613718.671;5352322.046;5132460.545;5434931.875;5909686.282;6428973.338;6257744.79;6898481.153
Natal (RN);4182178.944;4348420.272;4966793.875;5690088.104;6588496.169;7954796.485;8420162.783;10143834.07;11221667.053;12788620.425;14491322.34;16244550.063;16879339.593;18151059.164;18937852.78;20296907.662;20107582.401;20958388.943;19581037.109;20775623.021
Nísia Floresta (RN);56502.61;70853.522;75299.413;84490.097;105723.571;108972.178;116240.627;137868.601;151256.709;168580.177;192739.255;235068.274;262772.174;288684.601;322768.354;342801.727;410604.513;412543.37;421096.113;441744.09
Nova Cruz (RN);70211.073;82369.426;92706.496;102107.81;118018.76;139622.649;155183.107;193123.961;223035.652;228840.619;263565.178;297568.159;326861.048;369254.259;405285.759;413229.156;404222.743;423565.748;474003.064;492631.947
Olho d'Água do Borges (RN);7890.426;8755.429;9421.61;11003.136;12675.018;14670.727;16590.438;19530.395;20674.452;24871.547;25081.805;29380.635;31135.607;31869.713;32732.626;33490.701;36534.399;47960.151;48816.439;45635.936
Ouro Branco (RN);18370.093;16532.887;20031.362;20694.709;21039.2;29160.904;22410.595;21943.589;22019.348;27316.993;29305.635;32643.028;36104.916;38183.988;41136.144;45072.775;46711.752;51039.721;51765.699;57856.99
Paraná (RN);6401.114;7653.242;9120.379;9428.458;10643.187;13013.947;14636.651;15706.989;17140.225;19052.188;19721.27;24901.851;26756.302;28589.177;28661.237;32153.93;32626.711;36588.142;38782.761;42518.455
Paraú (RN);13839.485;8837.07;9562.154;12694.082;12167.144;14634.573;16161.901;18154.488;19931.102;21232.566;23033.95;30207.369;29715.526;30246.437;33087.202;39611.808;40794.219;44722.37;48296.607;52274.308
Parazinho (RN);9289.371;10168.559;11468.991;11998.307;13042.887;17407.462;19605.159;21336.402;19891.772;82793.539;330077.351;184933.659;196045.288;217637.86;314651.156;407388.934;400337.096;325939.894;391314.819;595045.648
Parelhas (RN);43404.134;46330.348;52020.637;61451.769;69599.855;87156.75;93673.59;101628.247;121538.388;170593.627;185078.944;211261.669;215429.179;289274.299;277784.682;296959.613;300747.777;316043.807;318042.299;338472.284
Rio do Fogo (RN);19159.072;22267.012;23958.796;26732.884;30716.895;34885.36;39809.921;45612.337;50402.745;57774.437;68650.661;78911.606;97783.751;98333.212;104685.763;164359.012;162625.974;158313.974;167676.73;176115.121
Passa e Fica (RN);17479.677;20669.102;25119.639;27724.575;32832.104;49456.625;41386.654;42712.317;47385.567;64299.441;71128.661;76192.337;81670.088;94178.046;90063.736;102463.005;105015.219;120311.752;126757.542;141238.423
Passagem (RN);8053.924;6429.364;7498.908;8715.827;9217.481;10498.825;10926.158;12883.668;14808.012;17098.596;18730.194;22874.814;23605.396;24933.268;28872.246;29931.995;33615.853;34322.747;36270.876;44599.996
Patu (RN);21189.314;22729.768;24976.765;27574.609;32868.715;37283.148;38142.18;41534.784;48958.183;59233.105;78012.015;85463.877;89322.571;99073.209;100812.801;122268.478;134574.225;138563.767;146483.198;146944.65
Santa Maria (RN);7779.916;9373.475;11612.077;12428.469;13635.09;15937.171;19657.308;21194.311;20790.4;27326.911;35626.193;42651.27;49000.386;53175.24;45871.395;59198.246;49764.264;62135.504;62353.906;71240.813
Pau dos Ferros (RN);73069.083;76890.927;90013.79;101951.606;114099.965;138783.549;151473.058;183333.707;207239.8;234172.432;280665.657;305992.71;322278.235;359935.122;382701.693;441747.406;468647.699;542552.588;551698.952;612640.491
Pedra Grande (RN);8560.887;11361.199;12944.696;12966.726;14793.081;15291.534;16955.921;20522.442;21631.753;25416.705;29628.183;34321.203;30720.959;137941.231;170188.228;187799.371;192090.415;197448.031;294176.467;273298.419
Pedra Preta (RN);6041.529;6717.541;7240.833;7756.82;8700.893;10499.518;12057.552;12604.51;13686.344;16394.023;16815.695;17935.251;19509.802;21460.267;23164.012;23997.436;26749.441;29174.345;30183.337;33705.396
Pedro Avelino (RN);19785.528;19767.713;20205.462;21901.994;22030.017;28514.208;29183.52;32118.532;34787.051;38397.205;36049.238;40321.054;42984.15;47362.376;49927.11;52864.645;55829.066;62132.719;66830.651;73880.158
Pedro Velho (RN);24183.204;26366.231;28979.268;35861.239;42281.935;45178.208;49357.021;54956.889;63738.913;69288.54;72488.401;84471.724;95531.873;102923.102;113377.014;119439.764;124910.036;143990.097;156771.137;164939.561
Pendências (RN);81778.335;85947.337;96493.584;114817.067;139485.454;150621.472;170705.169;133885.379;187804.806;254461.96;309909.816;347533.903;303165.779;257342.006;204889.557;258006.49;437064.24;475811.76;448685.565;703551.57
Pilões (RN);5995.203;7252.191;8636.352;9102.028;11209.123;12254.159;14562.621;16781.022;17369.303;30218.199;22564.813;24015.388;27914.107;30256.29;31348.417;33764.567;33653.092;34494.869;39237.498;39512.375
Poço Branco (RN);20149.613;22079.736;24515.505;30451.393;35506.823;38949.147;41043.501;48332.071;54452.744;61596.123;67780.699;78540.812;85732.582;88694.133;94097.631;104664.445;103553.85;114402.794;128265.192;127017.637
Portalegre (RN);12784.648;13623.946;15727.317;16395.374;18894.971;22871.463;24929.221;28931.49;35368.28;37427.053;42037.715;44539.949;45616.248;51314.443;52278.687;58157.117;62604.818;66626.503;67530.987;75053.845
Porto do Mangue (RN);96474.811;119616.88;218000.113;310061.877;304437.298;231559.724;239278.767;134271.363;197396.628;278524.102;267455.564;244656.611;202955.789;118616.692;80652.234;114289.916;150217.453;148774.927;122035.276;142926.672
Serra Caiada (RN);15331.813;21660.848;22291.461;24200.816;25873.568;32190.46;36738.67;38107.942;39923.895;42970.052;47458.332;53069.52;56297.584;63121.203;69052.073;75353.353;76828.465;85698.407;95144.626;101997.736
Pureza (RN);14487.731;17446.806;19825.922;21781.105;25608.243;29418.516;33053.645;36581.617;39976.68;46880.087;48424.181;58903.046;57429.764;63844.555;76186.757;123520.434;116801.523;122373.746;133554.544;159005.383
Rafael Fernandes (RN);8809.09;9839.049;12805.209;13158.072;13985.487;15737.923;16552.811;19289.2;21015.353;23197.926;25035.514;28309.508;30644.682;34816.002;37385.748;38889.229;43087.506;50071.766;47597.878;49705.107
Rafael Godeiro (RN);5596.685;6231.554;7159.976;8155.42;9545.459;11369.215;13167.97;13654.839;13942.032;15999.696;18164.432;20453.006;21233.761;22490.523;25915.916;28111.824;31539.244;35247.693;37824.603;41726.184
Riacho da Cruz (RN);5283.622;5721.464;6443.705;7327.26;8354.555;10689.205;12209.767;13246.474;13656.502;16459.726;18633.396;21069.112;22756.448;24942.733;26931.142;29505.74;30345.178;33230.82;34696.035;36127.121
Riacho de Santana (RN);8102.837;9235.546;10481.943;12151.046;13373.506;15680.363;17424.025;18514.085;19902.778;22007.705;23743.647;25548.455;28517.118;28427.05;29395.05;30625.056;34998.881;38497.301;40129.893;42113.226
Riachuelo (RN);11474.955;12723.899;15214.809;16666.678;18505.931;23612.502;25721.812;27322.553;30653.882;38907.172;43966.496;47641.515;49957.392;53032.369;57465.11;61444.831;63161.843;68072.461;81141.991;180302.175
Rodolfo Fernandes (RN);10254.563;10947.407;10658.82;11777.523;13016.379;15582.517;16835.051;19144.912;19591.822;22109.243;22517.901;27242.629;28829.955;31715.976;34322.786;38909.968;43216.374;46828.124;50364.34;56255.679
Tibau (RN);14827.649;15697.664;18529.329;23005.285;27040.547;40598.418;50023.324;34594.964;36555.597;45698.152;47069.594;53076.405;57579.064;73713.557;68511.101;75195.725;92334.312;100354.659;102249.035;103327.809
Ruy Barbosa (RN);7126.127;8400.559;10117.785;11427.337;12209.424;14070.967;15800.56;17007.525;16949.003;20589.478;21409.204;23132.688;24947.759;27002.535;29825.994;29289.145;31434.025;35123.624;38416.472;124116.979
Santa Cruz (RN);67039.284;72884.738;86850.142;94721.084;103438.735;125371.542;135848.41;152195.619;178006.459;237689.781;272056.921;317115.349;354737.502;379624.899;415635.002;515034.658;454762.544;502074.539;530015.7;557363.158
Santana do Matos (RN);30106.197;36220.437;40810.621;47327.075;57608.308;59275.727;60026.881;70417.943;134166.823;86684.875;88042.234;89117.276;119363.398;109924.221;107045.839;118210.381;121942.329;129550.874;136148.167;136259.925
Santana do Seridó (RN);6111.337;6490.881;7060.554;8525.69;9090.08;11307.135;12783.346;14653.681;16642.294;20467.605;26661.086;27821.966;28749.443;30235.705;35088.181;36202.391;35836.748;35226.454;33302.738;34553.416
Santo Antônio (RN);43970.001;43165.194;48170.096;55203.378;63520.554;76475.012;83206.877;92875.305;101067.858;118739.124;129776.455;150963.109;158138.077;178239.566;197089.514;206175.552;232243.492;252626.849;270523.719;276424.801
São Bento do Norte (RN);8855.123;11599.531;12830.331;21260.695;15296.166;16394.341;17580.286;21091.321;22035.586;23602.276;25792.429;30268.014;34859.592;66902.248;97021.671;170583.204;140512.262;344592.676;378589.916;509542.718
São Bento do Trairí (RN);6718.534;7805.325;9856.623;10156.049;11613.437;13992.173;15895.585;17792.62;17348.598;21133.352;21591.586;25319.925;26862.374;29370.934;32642.847;34131.916;36574.36;41252.28;43525.592;44261.282
São Fernando (RN);8597.913;10449.241;11522.304;13000.438;15099.807;16560.788;17227.242;22138.749;21584.324;25500.739;30061.469;34594.046;38451.321;44218.798;45437.341;46604.019;44622.092;50621.367;53231.302;60013.546
São Francisco do Oeste (RN);7017.76;7540.607;8913.318;10131.575;10909.714;12893.528;14816.316;16848.775;17176.6;20654.059;22047.699;26821.699;28388.954;30574.037;41342.478;37288.081;43472.309;47542.48;48216.299;51660.896
São Gonçalo do Amarante (RN);441648.724;503453.209;515262.278;613534.832;728099.354;868585.89;962921.334;792292.052;1134505.361;1143607.979;1086203.465;1307529.707;1407410.737;1524251.638;1187843.722;1282362.978;1421646.676;1696852.415;1550549.169;1674551.8
São João do Sabugi (RN);12806.963;13936.977;15099.654;15981.013;17831.814;19596.559;21469.774;25185.498;27443.449;31486.036;34132.695;39967.556;42276.238;46609.374;49072.866;53860.556;58977.571;69204.662;74022.54;78953.761
São José de Mipibu (RN);98708.193;115838.999;130233.984;159886.709;195426.095;236143.068;269055.703;285384.028;355212.876;398950.232;479554.876;517821.533;549364.946;586194.03;567890.749;656174.254;728780.49;762111.392;800182.94;878698.951
São José do Campestre (RN);23044.945;24516.408;25828.931;29597.223;30520.248;40534.89;44752.027;48622.905;50091.311;56209.974;59720.169;65012.843;75073.02;80971.149;87450.015;92110.016;95581.647;104144.46;111720.038;119495.015
São José do Seridó (RN);9745.129;10840.87;12257.824;14458.411;16328.839;17552.454;20978.365;23558.926;27680.934;33614.075;38368.788;43236.495;47824.252;55022.701;66790.641;91719.914;81189.056;77026.512;72613.162;76655.63
São Miguel (RN);41497.536;47071.951;51803.728;55848.055;63260.534;73204.328;81398.983;88971.359;98330.466;113893.671;130142.106;148664.787;167091.809;178086.792;194540.071;205331.103;222015.115;238211.881;252380.2;286189.423
São Miguel do Gostoso (RN);15515.321;20964.13;21683.542;24617.77;29619.466;33720.498;35896.296;41472.254;42574.437;49919.824;53372.537;61542.417;74804.123;140367.788;281058.173;378266.754;267177.971;283823.563;349992.594;465374.577
São Paulo do Potengi (RN);29777.06;33047.549;38105.947;42785.232;46895.656;53863.539;58744.229;67316.516;94527.096;99910.995;116817.079;118097.621;119137.636;131676.617;139907.333;154383.45;176693.593;194767.711;205268.533;212969.423
São Pedro (RN);13142.784;15188.226;17824.551;17646.235;18711.994;21434.272;24532.694;26643.118;28944.318;35410.156;39155.237;41970.161;44521.888;48645.398;50686.422;55656.367;48385.895;52077.683;51166.147;53880.36
São Rafael (RN);16108.92;17834.252;19252.071;21567.733;23878.551;27170.571;30795.991;35587.867;37062.846;40717.324;45759.071;53539.111;53753.959;60158.481;63989.678;68108.483;73539.002;78364.839;82327.402;84509.714
São Tomé (RN);18663.14;20092.709;22538.89;24999.086;27542.313;32807.425;36816.697;39562.451;41846.144;48857.298;55493.167;65955.417;69006.875;76164.756;81912.104;86661.652;93457.803;96777.265;100842.593;105361.677
São Vicente (RN);11921.895;12622.396;13132.986;14446.157;16988.791;19422.727;23805.058;24791.975;25777.701;31295.336;34482.853;39386.114;39625.904;46646.811;55942.159;59768.188;63899.159;66178.148;67863.748;72064.826
Senador Elói de Souza (RN);10481.994;12299.088;16631.644;16734.119;16324.277;19567.382;20625.495;22013.586;23149.008;26571.625;29729.798;31831.404;34149.902;36923.747;40247.454;42424.542;46202.564;51378.856;52019.955;58265.712
Senador Georgino Avelino (RN);13693.275;21016.396;20676.361;25645.458;26682.673;28733.53;31580.24;38015.181;38360.411;40154.579;45697.399;56585.766;62824.475;70220.374;93527.82;99473.968;123131.568;115445.149;113366.527;108718.116
Serra de São Bento (RN);7767.601;9407.504;11212.11;12700.664;13296.482;16627.523;17992.617;20777.143;22391.899;24816.925;26287.517;30194.814;32402.458;35726.883;38573.46;43718.3;44445.888;49180.859;48988.687;54423.477
Serra do Mel (RN);32227.85;33604.393;41953.266;47559.452;60771.692;61549.073;72137.211;70169.251;69651.067;107077.97;103081.647;108541.634;111237.485;97708.675;123531.794;256258.624;222351.235;261412.175;558336.913;771902.725
Serra Negra do Norte (RN);17523.509;18378.062;20320.674;20686.22;23430.198;24659.846;27576.494;29966.333;34079.126;41260.688;47177.982;54197.186;58617.774;64712.69;72393.512;70497.758;78753.409;89971.088;93508.991;111031.471
Serrinha (RN);12665.534;16009.487;17979.324;20218.615;24388.65;26053.152;28028.882;30618.529;29847.997;33868.753;36323.52;41271.73;44128.733;47185.208;48118.715;53219.927;56180.831;62149.987;64765.636;69106.737
Serrinha dos Pintos (RN);8918.198;9598.56;11296.68;12115.932;13574.231;16441.872;17649.348;19644.335;20859.33;22009.682;23624.08;26713.169;29844.568;32360.029;33645.729;35853.569;38406.533;41995.377;44697.278;47330.198
Severiano Melo (RN);27390.642;24794.449;31219.814;29070.099;28330.791;26504.451;26828.194;27577.018;29057.744;33542.117;33634.713;37059.034;37096.627;35738.281;36778.149;39766.434;42566.04;48870.705;54649.963;56877.585
Sítio Novo (RN);9300.886;10308.276;11638.805;12600.087;14177.546;18024.388;20430.897;21921.172;22284.427;24369.538;26318.916;29740.2;31359.167;35752.651;38340.07;41065.654;42001.438;46361.36;46800.025;51914.326
Taboleiro Grande (RN);5500.461;5936.991;6252.69;7103.409;7930.602;10694.918;12020.443;12248.178;12152.829;14269.608;15950.389;18323.018;19458.908;20241.944;22755.998;24376.146;25526.846;27355.412;29144.868;31296.485
Taipu (RN);25911.106;34742.726;38612.049;44041.75;53259.127;59877.602;63137.991;64956.796;71109.997;90324.128;98047.449;98037.887;89402.114;90068.248;100887.307;115463.357;109280.27;120939.923;130116.874;145246.206
Tangará (RN);24039.67;28616.189;31015.206;37656.206;42681.746;44126.765;51769.25;54823.053;65993.248;77268.768;88607.579;98388.768;103340.118;111738.25;123970.297;128777.139;154826.197;168452.714;174830.549;182314.154
Tenente Ananias (RN);15073.358;16014.864;18753.744;20528.041;22959.686;28374.329;32677.177;36652.074;41721.376;50202.158;56629.167;63791.856;67626.147;71048.166;73569.133;79662.326;86508.22;98843.182;101543.866;107577.399
Tenente Laurentino Cruz (RN);10130.212;11929.729;11748.871;13300.823;16241.566;17320.735;19395.414;22994.018;24296.001;30275.064;33278.163;36457.494;36108.483;50125.416;54223.541;85449.153;80910.31;88046.129;97598.457;99756.487
Tibau do Sul (RN);30965.982;44147.516;51468.283;58618.64;76670.053;90408.18;97293.637;127680.986;130361.667;146155.298;163504.994;196179.157;233636.976;237870.622;271308.454;289194.621;350808.82;394900.934;374547.249;381889.675
Timbaúba dos Batistas (RN);5121.586;5504.588;6589.487;7667.93;8481.93;9299.567;10458.662;13291.293;13101.075;13231.954;15088.486;19288.137;21496.173;24073.086;27092.658;28821.281;28822.023;32704.076;33436.83;41148.864
Touros (RN);65507.465;87548.086;95935.744;108201.532;124116.404;126438.944;136117.281;158559.571;173828.173;186223.92;220811.451;264005.029;303822.484;338219.208;376292.824;623449.454;492382.336;506115.731;573804.032;766931.818
Triunfo Potiguar (RN);6981.392;7813.266;8448.544;9792.456;11607.794;13054.889;13483.538;14851.23;16375.51;18631.576;19626.787;28246.545;29488.154;37217.97;37143.681;39487.048;36791.611;37564.3;37232.379;44047.898
Umarizal (RN);25862.606;28632.064;29617.682;33822.903;36993.552;38252.183;40152.628;46283.531;49674.482;62612.235;76658.154;88448.795;94482.521;100682.492;106746.891;120209.586;117147.578;126103.178;129978.781;138369.172
Upanema (RN);58276.334;57911.714;58289.067;66009.792;72572.213;86339.74;90490.488;75910.958;82545.304;110909.064;129840.665;149876.325;155854.79;131536.687;113605.8;134473.99;176783.357;166727.698;169524.627;201499.443
Várzea (RN);8764.118;9431.675;10345.894;12169.337;13636.61;16162.723;17568.162;21242.14;24345.355;25850.068;27498.059;32300.525;32828.431;34999.378;37851.168;41003.018;46504.161;50372.017;53735.704;54492.663
Venha-Ver (RN);7679.554;8702.879;10905.217;11987.52;12442.014;14787.329;16238.93;16564.915;15618.545;18717.04;20607.949;23127.426;25866.322;28999.244;30310.838;34776.63;33856.77;37218.461;39763.228;41871.812
Vera Cruz (RN);21330.033;23568.142;24591.132;27215.385;30411.671;37839.499;39949.798;44124.978;46964.004;53894.141;61311.926;72133.203;78443.763;87586.742;92447.853;101846.704;103085.83;111586.525;116133.296;124851.618
Viçosa (RN);4096.29;4559.979;5083.323;5526.228;6468.681;7626.802;8024.983;8963.096;8614.542;10188.838;11081.862;11660.233;12981.286;14250.966;14637.959;15452.336;17287.38;19957.912;20510.786;22324.761
Vila Flor (RN);6522.91;7942.112;8632.482;10856.927;12242.374;13136.259;13998.676;16532.241;17230.809;18852.906;20435.815;23815.906;24825.246;28019.402;29225.662;35806.635;38513.694;41540.239;42906.725;42349.499
